time,algorithm_type,total_tasks,completed_tasks,avg_wait_time,max_wait_time,avg_completion_time,total_movement_distance,robot_0_task_count,robot_1_task_count,robot_2_task_count,robot_0_distance,robot_1_distance,robot_2_distance,robot_0_idle_ratio,robot_1_idle_ratio,robot_2_idle_ratio,active_tasks
2026-01-23 11:09:14,rl,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026-01-23 11:09:14,rl,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,100.0,100.0,100.0,0
2026-01-23 11:09:19,rl,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0
2026-01-23 11:09:24,rl,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0
2026-01-23 11:09:29,rl,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0
2026-01-23 11:09:34,rl,1,0,0.0,0.0,0.0,0.32,0,0,0,0.32,0.0,0.0,90.55,100.0,100.0,1
2026-01-23 11:09:39,rl,1,0,0.0,0.0,0.0,2.47,0,0,0,2.47,0.0,0.0,72.51,100.0,100.0,1
2026-01-23 11:09:44,rl,1,0,0.0,0.0,0.0,3.58,0,0,0,3.58,0.0,0.0,60.47,100.0,100.0,1
2026-01-23 11:09:49,rl,1,0,0.0,0.0,0.0,3.92,0,0,0,3.92,0.0,0.0,51.85,100.0,100.0,1
2026-01-23 11:09:54,rl,2,0,0.0,0.0,0.0,6.07,0,0,0,6.07,0.0,0.0,45.39,100.0,100.0,2
2026-01-23 11:09:59,rl,2,0,0.0,0.0,0.0,7.21,0,0,0,7.21,0.0,0.0,40.35,100.0,100.0,2
2026-01-23 11:10:04,rl,2,0,0.0,0.0,0.0,7.21,0,0,0,7.21,0.0,0.0,36.33,100.0,100.0,2
2026-01-23 11:10:09,rl,2,0,0.0,0.0,0.0,8.38,0,0,0,8.38,0.0,0.0,33.03,100.0,100.0,2
2026-01-23 11:10:14,rl,3,0,0.0,0.0,0.0,10.86,0,0,0,10.53,0.33,0.0,30.28,96.17,100.0,3
2026-01-23 11:10:19,rl,3,0,0.0,0.0,0.0,14.13,0,0,0,12.37,1.76,0.0,27.96,88.79,100.0,3
2026-01-23 11:10:25,rl,3,0,0.0,0.0,0.0,15.52,0,0,0,13.76,1.76,0.0,25.96,82.45,100.0,3
2026-01-23 11:10:30,rl,3,0,0.0,0.0,0.0,19.73,0,0,0,15.91,3.82,0.0,24.23,76.96,100.0,3
2026-01-23 11:10:35,rl,4,0,0.0,0.0,0.0,23.66,0,0,0,17.69,5.97,0.0,22.72,72.16,100.0,4
2026-01-23 11:10:40,rl,4,0,0.0,0.0,0.0,24.76,0,0,0,17.69,7.07,0.0,21.39,67.92,100.0,4
2026-01-23 11:10:45,rl,4,0,0.0,0.0,0.0,26.96,0,0,0,19.54,7.42,0.0,20.2,64.15,100.0,4
2026-01-23 11:10:50,rl,4,0,0.0,0.0,0.0,31.26,0,0,0,21.69,9.57,0.0,19.14,60.78,100.0,4
2026-01-23 11:10:55,rl,5,0,0.0,0.0,0.0,35.57,0,0,0,23.84,11.72,0.0,18.18,57.74,100.0,5
2026-01-23 11:11:00,rl,5,0,0.0,0.0,0.0,39.79,0,0,0,25.91,13.88,0.0,17.32,55.0,100.0,5
2026-01-23 11:11:05,rl,5,0,0.0,0.0,0.0,42.11,0,0,0,26.08,16.03,0.0,16.53,52.5,100.0,5
2026-01-23 11:11:10,rl,5,0,0.0,0.0,0.0,46.28,0,0,0,28.1,18.18,0.0,15.81,50.22,100.0,5
2026-01-23 11:11:15,rl,6,0,0.0,0.0,0.0,51.32,0,0,0,30.25,20.33,0.74,15.15,48.13,97.75,6
2026-01-23 11:11:20,rl,6,0,0.0,0.0,0.0,57.58,0,0,0,32.41,22.48,2.7,14.55,46.2,93.84,6
2026-01-23 11:11:25,rl,6,0,0.0,0.0,0.0,61.74,0,0,0,34.56,24.42,2.76,13.99,44.43,90.24,6
2026-01-23 11:11:30,rl,6,0,0.0,0.0,0.0,67.63,0,0,0,36.71,26.57,4.35,13.47,42.78,86.9,6
2026-01-23 11:11:35,rl,7,0,0.0,0.0,0.0,74.08,0,0,0,38.86,28.72,6.5,12.99,41.26,83.8,7
2026-01-23 11:11:40,rl,7,0,0.0,0.0,0.0,78.22,0,0,0,40.44,30.87,6.91,12.54,39.83,80.91,7
2026-01-23 11:11:45,rl,7,0,0.0,0.0,0.0,82.36,0,0,0,41.23,33.02,8.11,12.13,38.51,78.21,7
2026-01-23 11:11:50,rl,7,0,0.0,0.0,0.0,88.7,0,0,0,43.38,35.18,10.14,11.73,37.27,75.69,7
2026-01-23 11:11:55,rl,8,0,0.0,0.0,0.0,93.14,0,0,0,45.54,37.33,10.27,11.37,36.1,73.33,8
2026-01-23 11:12:00,rl,8,0,0.0,0.0,0.0,96.37,0,0,0,46.29,39.48,10.61,11.02,35.01,71.11,8
2026-01-23 11:12:05,rl,8,0,0.0,0.0,0.0,100.39,0,0,0,46.29,41.34,12.76,10.7,33.98,69.02,8
2026-01-23 11:12:10,rl,8,1,1769137885.65,1769137885.65,1769137885.65,103.18,1,0,0,47.44,41.41,14.33,10.39,33.01,67.05,7
2026-01-23 11:12:16,rl,8,1,1769137885.65,1769137885.65,1769137885.65,108.71,1,0,0,49.38,43.42,15.91,10.11,32.09,65.19,7
2026-01-23 11:12:21,rl,8,1,1769137885.65,1769137885.65,1769137885.65,113.98,1,0,0,51.53,44.39,18.06,9.83,31.23,63.43,7
2026-01-23 11:12:26,rl,8,1,1769137885.65,1769137885.65,1769137885.65,117.08,1,0,0,52.48,44.39,20.21,9.57,30.41,61.76,7
2026-01-23 11:12:31,rl,8,2,1769137875.4,1769137885.65,1769137875.4,120.57,1,1,0,52.82,45.39,22.36,9.33,29.63,60.17,6
2026-01-23 11:12:36,rl,8,2,1769137875.4,1769137885.65,1769137875.4,127.01,1,1,0,54.97,47.53,24.51,9.1,28.89,58.67,6
2026-01-23 11:12:41,rl,8,2,1769137875.4,1769137885.65,1769137875.4,131.68,1,1,0,57.12,47.89,26.66,8.87,28.18,57.24,6
2026-01-23 11:12:47,rl,8,2,1769137875.4,1769137885.65,1769137875.4,137.37,1,1,0,59.28,49.28,28.82,8.66,27.51,55.88,6
2026-01-23 11:12:52,rl,8,2,1769137875.4,1769137885.65,1769137875.4,142.75,1,1,0,61.43,51.43,29.89,8.46,26.87,54.58,6
2026-01-23 11:12:57,rl,8,2,1769137875.4,1769137885.65,1769137875.4,147.39,1,1,0,63.58,53.58,30.23,8.27,26.26,53.34,6
2026-01-23 11:13:02,rl,8,2,1769137875.4,1769137885.65,1769137875.4,153.43,1,1,0,65.73,55.73,31.96,8.09,25.68,52.15,6
2026-01-23 11:13:07,rl,8,2,1769137875.4,1769137885.65,1769137875.4,157.73,1,1,0,67.88,57.88,31.96,7.91,25.12,51.02,6
2026-01-23 11:13:12,rl,8,3,1769137866.48,1769137885.65,1769137866.48,162.73,1,1,1,70.03,60.04,32.66,7.74,24.59,49.94,5
2026-01-23 11:13:17,rl,8,3,1769137866.48,1769137885.65,1769137866.48,167.13,1,1,1,70.92,62.19,34.03,7.58,24.07,48.9,5
2026-01-23 11:13:22,rl,8,3,1769137866.48,1769137885.65,1769137866.48,172.08,1,1,1,71.66,64.34,36.08,7.43,23.58,47.9,5
2026-01-23 11:13:27,rl,8,3,1769137866.48,1769137885.65,1769137866.48,176.54,1,1,1,73.81,66.49,36.24,7.28,23.11,46.94,5
2026-01-23 11:13:32,rl,8,3,1769137866.48,1769137885.65,1769137866.48,182.69,1,1,1,75.96,68.64,38.08,7.13,22.66,46.02,5
2026-01-23 11:13:37,rl,8,3,1769137866.48,1769137885.65,1769137866.48,189.1,1,1,1,78.11,70.79,40.19,7.0,22.22,45.14,5
2026-01-23 11:13:42,rl,8,3,1769137866.48,1769137885.65,1769137866.48,193.94,1,1,1,80.27,72.95,40.73,6.87,21.8,44.29,5
2026-01-23 11:13:47,rl,8,3,1769137866.48,1769137885.65,1769137866.48,200.4,1,1,1,82.42,75.1,42.88,6.74,21.4,43.47,5
2026-01-23 11:13:52,rl,8,3,1769137866.48,1769137885.65,1769137866.48,206.85,1,1,1,84.57,77.25,45.03,6.62,21.01,42.68,5
2026-01-23 11:13:57,rl,8,3,1769137866.48,1769137885.65,1769137866.48,213.27,1,1,1,86.68,79.4,47.18,6.5,20.64,41.91,5
2026-01-23 11:14:02,rl,8,3,1769137866.48,1769137885.65,1769137866.48,218.17,1,1,1,87.28,81.55,49.34,6.38,20.27,41.18,5
2026-01-23 11:14:07,rl,8,3,1769137866.48,1769137885.65,1769137866.48,223.42,1,1,1,89.43,82.5,51.49,6.27,19.92,40.47,5
2026-01-23 11:14:12,rl,8,3,1769137866.48,1769137885.65,1769137866.48,228.75,1,1,1,90.45,84.65,53.64,6.17,19.59,39.78,5
2026-01-23 11:14:18,rl,8,3,1769137866.48,1769137885.65,1769137866.48,232.52,1,1,1,90.45,86.8,55.26,6.06,19.26,39.12,5
2026-01-23 11:14:23,rl,8,4,1769137899.1,1769137996.95,1769137899.1,237.06,2,1,1,91.45,88.96,56.66,5.97,18.94,38.48,4
2026-01-23 11:14:28,rl,8,4,1769137899.1,1769137996.95,1769137899.1,243.52,2,1,1,93.6,91.11,58.81,5.87,18.64,37.86,4
2026-01-23 11:14:33,rl,8,4,1769137899.1,1769137996.95,1769137899.1,248.67,2,1,1,94.45,93.26,60.96,5.78,18.34,37.26,4
2026-01-23 11:14:38,rl,8,4,1769137899.1,1769137996.95,1769137899.1,253.32,2,1,1,96.29,94.44,62.59,5.69,18.06,36.68,4
2026-01-23 11:14:43,rl,8,4,1769137899.1,1769137996.95,1769137899.1,257.07,2,1,1,98.44,96.04,62.59,5.6,17.78,36.11,4
2026-01-23 11:14:48,rl,8,4,1769137899.1,1769137996.95,1769137899.1,263.2,2,1,1,100.6,98.19,64.42,5.51,17.51,35.56,4
2026-01-23 11:14:53,rl,8,4,1769137899.1,1769137996.95,1769137899.1,268.56,2,1,1,102.75,100.34,65.47,5.43,17.25,35.03,4
2026-01-23 11:14:58,rl,8,4,1769137899.1,1769137996.95,1769137899.1,272.87,2,1,1,104.9,102.49,65.47,5.35,17.0,34.52,4
2026-01-23 11:15:03,rl,8,5,1769137906.85,1769137996.95,1769137906.85,277.95,2,1,2,107.05,104.64,66.26,5.27,16.75,34.19,3
