time,algorithm_type,total_tasks,completed_tasks,avg_wait_time,max_wait_time,avg_completion_time,total_movement_distance,robot_0_task_count,robot_1_task_count,robot_2_task_count,robot_0_distance,robot_1_distance,robot_2_distance,robot_0_idle_ratio,robot_1_idle_ratio,robot_2_idle_ratio,active_tasks
2026-01-23 11:23:03,tan_xin,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2026-01-23 11:23:05,tan_xin,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0
2026-01-23 11:23:10,tan_xin,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0
2026-01-23 11:23:15,tan_xin,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0
2026-01-23 11:23:20,tan_xin,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0
2026-01-23 11:23:25,tan_xin,1,0,0.0,0.0,0.0,0.77,0,0,0,0.77,0.0,0.0,84.65,100.0,100.0,1
2026-01-23 11:23:30,tan_xin,1,0,0.0,0.0,0.0,2.92,0,0,0,2.92,0.0,0.0,68.68,100.0,100.0,1
2026-01-23 11:23:35,tan_xin,1,0,0.0,0.0,0.0,3.58,0,0,0,3.58,0.0,0.0,57.78,100.0,100.0,1
2026-01-23 11:23:40,tan_xin,1,0,0.0,0.0,0.0,4.32,0,0,0,4.32,0.0,0.0,49.86,100.0,100.0,1
2026-01-23 11:23:45,tan_xin,2,0,0.0,0.0,0.0,6.47,0,0,0,6.47,0.0,0.0,43.86,100.0,100.0,2
2026-01-23 11:23:50,tan_xin,2,0,0.0,0.0,0.0,7.21,0,0,0,7.21,0.0,0.0,39.14,100.0,100.0,2
2026-01-23 11:23:56,tan_xin,2,0,0.0,0.0,0.0,7.21,0,0,0,7.21,0.0,0.0,35.34,100.0,100.0,2
2026-01-23 11:24:01,tan_xin,3,0,0.0,0.0,0.0,8.81,0,0,0,8.81,0.0,0.0,32.21,100.0,100.0,3
2026-01-23 11:24:06,tan_xin,3,0,0.0,0.0,0.0,12.35,0,0,0,10.97,1.39,0.0,29.59,92.52,100.0,3
2026-01-23 11:24:11,tan_xin,3,0,0.0,0.0,0.0,14.15,0,0,0,12.39,1.76,0.0,27.37,85.56,100.0,3
2026-01-23 11:24:16,tan_xin,3,0,0.0,0.0,0.0,16.96,0,0,0,14.21,2.75,0.0,25.45,79.58,100.0,3
2026-01-23 11:24:21,tan_xin,4,0,0.0,0.0,0.0,21.26,0,0,0,16.36,4.9,0.0,23.79,74.38,100.0,4
2026-01-23 11:24:26,tan_xin,4,0,0.0,0.0,0.0,24.63,0,0,0,17.69,6.94,0.0,22.33,69.82,100.0,4
2026-01-23 11:24:31,tan_xin,4,0,0.0,0.0,0.0,24.9,0,0,0,17.83,7.07,0.0,21.04,65.78,100.0,4
2026-01-23 11:24:36,tan_xin,4,0,0.0,0.0,0.0,28.41,0,0,0,19.95,8.47,0.0,19.89,62.19,100.0,4
2026-01-23 11:24:41,tan_xin,5,0,0.0,0.0,0.0,32.71,0,0,0,22.1,10.62,0.0,18.86,58.96,100.0,5
2026-01-23 11:24:46,tan_xin,5,0,0.0,0.0,0.0,37.02,0,0,0,24.25,12.77,0.0,17.93,56.06,100.0,5
2026-01-23 11:24:51,tan_xin,5,0,0.0,0.0,0.0,40.99,0,0,0,26.07,14.92,0.0,17.09,53.43,100.0,5
2026-01-23 11:24:56,tan_xin,5,0,0.0,0.0,0.0,43.46,0,0,0,26.39,17.07,0.0,16.32,51.03,100.0,5
2026-01-23 11:25:01,tan_xin,6,0,0.0,0.0,0.0,47.76,0,0,0,28.54,19.22,0.0,15.62,48.84,100.0,6
2026-01-23 11:25:06,tan_xin,6,0,0.0,0.0,0.0,52.83,0,0,0,30.69,21.16,0.98,14.98,46.83,96.71,6
2026-01-23 11:25:11,tan_xin,6,0,0.0,0.0,0.0,59.13,0,0,0,32.84,23.53,2.76,14.39,44.98,92.89,6
2026-01-23 11:25:16,tan_xin,6,0,0.0,0.0,0.0,63.58,0,0,0,34.99,25.68,2.91,13.84,43.27,89.35,6
2026-01-23 11:25:21,tan_xin,7,0,0.0,0.0,0.0,70.01,0,0,0,37.15,27.83,5.04,13.33,41.68,86.08,7
2026-01-23 11:25:26,tan_xin,7,0,0.0,0.0,0.0,75.95,0,0,0,39.08,29.98,6.88,12.86,40.21,83.04,7
2026-01-23 11:25:31,tan_xin,7,0,0.0,0.0,0.0,79.49,0,0,0,40.45,32.13,6.91,12.42,38.84,80.2,7
2026-01-23 11:25:36,tan_xin,7,0,0.0,0.0,0.0,84.48,0,0,0,41.44,34.28,8.76,12.01,37.56,77.56,7
2026-01-23 11:25:41,tan_xin,8,0,0.0,0.0,0.0,90.3,0,0,0,43.59,36.44,10.27,11.63,36.36,75.08,8
2026-01-23 11:25:46,tan_xin,8,0,0.0,0.0,0.0,94.6,0,0,0,45.74,38.59,10.27,11.27,35.23,72.76,8
2026-01-23 11:25:52,tan_xin,8,0,0.0,0.0,0.0,98.48,0,0,0,46.29,40.74,11.45,10.93,34.17,70.57,8
2026-01-23 11:25:57,tan_xin,8,1,154.6,154.6,154.6,101.29,1,0,0,46.32,41.37,13.6,10.61,33.18,68.51,7
2026-01-23 11:26:02,tan_xin,8,1,154.6,154.6,154.6,104.87,1,0,0,47.66,42.56,14.65,10.31,32.24,66.57,7
2026-01-23 11:26:07,tan_xin,8,1,154.6,154.6,154.6,111.0,1,0,0,49.81,44.39,16.8,10.03,31.35,64.74,7
2026-01-23 11:26:12,tan_xin,8,1,154.6,154.6,154.6,115.31,1,0,0,51.97,44.39,18.95,9.76,30.51,63.0,7
2026-01-23 11:26:17,tan_xin,8,2,143.5,154.6,143.5,118.02,1,1,0,52.49,44.64,20.89,9.5,29.71,61.36,6
2026-01-23 11:26:22,tan_xin,8,2,143.5,154.6,143.5,122.77,1,1,0,53.25,46.48,23.04,9.26,28.96,59.8,6
2026-01-23 11:26:27,tan_xin,8,2,143.5,154.6,143.5,128.48,1,1,0,55.4,47.89,25.19,9.03,28.24,58.31,6
2026-01-23 11:26:33,tan_xin,8,2,143.5,154.6,143.5,133.09,1,1,0,57.55,48.2,27.34,8.81,27.55,56.9,6
2026-01-23 11:26:38,tan_xin,8,2,143.5,154.6,143.5,139.54,1,1,0,59.7,50.35,29.49,8.61,26.9,55.56,6
2026-01-23 11:26:43,tan_xin,8,2,143.5,154.6,143.5,144.25,1,1,0,61.86,52.5,29.89,8.41,26.28,54.27,6
2026-01-23 11:26:48,tan_xin,8,2,143.5,154.6,143.5,149.51,1,1,0,64.01,54.65,30.85,8.22,25.69,53.05,6
2026-01-23 11:26:53,tan_xin,8,2,143.5,154.6,143.5,154.92,1,1,0,66.16,56.81,31.96,8.04,25.12,51.88,6
2026-01-23 11:26:58,tan_xin,8,2,143.5,154.6,143.5,159.23,1,1,0,68.31,58.96,31.96,7.86,24.58,50.76,6
2026-01-23 11:27:03,tan_xin,8,3,134.4,154.6,134.4,164.61,1,1,1,70.46,61.11,33.04,7.7,24.06,49.68,5
2026-01-23 11:27:08,tan_xin,8,3,134.4,154.6,134.4,167.26,1,1,1,70.92,63.26,33.08,7.54,23.56,50.68,5
2026-01-23 11:27:13,tan_xin,8,3,134.4,154.6,134.4,170.63,1,1,1,72.12,65.41,33.09,7.38,23.08,51.68,5
2026-01-23 11:27:18,tan_xin,8,3,134.4,154.6,134.4,174.93,1,1,1,74.27,67.56,33.09,7.24,22.62,52.64,5
2026-01-23 11:27:23,tan_xin,8,3,134.4,154.6,134.4,179.23,1,1,1,76.42,69.72,33.09,7.1,22.18,53.57,5
2026-01-23 11:27:28,tan_xin,8,3,134.4,154.6,134.4,183.53,1,1,1,78.57,71.87,33.09,6.96,21.76,54.46,5
2026-01-23 11:27:33,tan_xin,8,3,134.4,154.6,134.4,187.84,1,1,1,80.73,74.02,33.09,6.83,21.35,55.31,5
2026-01-23 11:27:38,tan_xin,8,3,134.4,154.6,134.4,192.14,1,1,1,82.88,76.17,33.09,6.7,20.96,56.13,5
2026-01-23 11:27:44,tan_xin,8,3,134.4,154.6,134.4,196.44,1,1,1,85.03,78.32,33.09,6.58,20.58,56.93,5
2026-01-23 11:27:49,tan_xin,8,3,134.4,154.6,134.4,200.48,1,1,1,86.91,80.47,33.09,6.47,20.21,57.69,5
2026-01-23 11:27:54,tan_xin,8,3,134.4,154.6,134.4,202.98,1,1,1,87.71,82.18,33.09,6.35,19.86,58.43,5
2026-01-23 11:27:59,tan_xin,8,3,134.4,154.6,134.4,206.53,1,1,1,89.86,83.57,33.09,6.24,19.52,59.14,5
2026-01-23 11:28:04,tan_xin,8,3,134.4,154.6,134.4,209.27,1,1,1,90.45,85.72,33.09,6.14,19.19,59.83,5
2026-01-23 11:28:09,tan_xin,8,3,134.4,154.6,134.4,211.45,1,1,1,90.48,87.87,33.09,6.04,18.87,60.5,5
2026-01-23 11:28:14,tan_xin,8,4,167.2,265.6,167.2,215.01,2,1,1,91.89,90.02,33.09,5.94,18.56,61.14,4
2026-01-23 11:28:19,tan_xin,8,4,167.2,265.6,167.2,219.31,2,1,1,94.04,92.18,33.09,5.84,18.27,61.77,4
2026-01-23 11:28:24,tan_xin,8,4,167.2,265.6,167.2,221.94,2,1,1,94.59,94.25,33.09,5.75,17.98,62.37,4
2026-01-23 11:28:29,tan_xin,8,4,167.2,265.6,167.2,224.76,2,1,1,96.71,94.96,33.09,5.66,17.7,62.95,4
2026-01-23 11:28:34,tan_xin,8,4,167.2,265.6,167.2,229.06,2,1,1,98.86,97.11,33.09,5.57,17.43,63.52,4
2026-01-23 11:28:39,tan_xin,8,4,167.2,265.6,167.2,233.37,2,1,1,101.01,99.26,33.09,5.49,17.16,64.07,4
2026-01-23 11:28:44,tan_xin,8,4,167.2,265.6,167.2,237.67,2,1,1,103.16,101.41,33.09,5.41,16.91,64.61,4
2026-01-23 11:28:49,tan_xin,8,4,167.2,265.6,167.2,241.97,2,1,1,105.31,103.57,33.09,5.33,16.66,65.12,4
2026-01-23 11:28:54,tan_xin,8,4,167.2,265.6,167.2,246.28,2,1,1,107.46,105.72,33.09,5.25,16.42,65.63,4
2026-01-23 11:28:59,tan_xin,8,4,167.2,265.6,167.2,248.94,2,1,1,109.62,106.23,33.09,5.18,16.19,66.12,4
2026-01-23 11:29:05,tan_xin,8,4,167.2,265.6,167.2,250.58,2,1,1,110.48,107.0,33.09,5.11,15.96,66.59,4
2026-01-23 11:29:10,tan_xin,8,4,167.2,265.6,167.2,253.47,2,1,1,111.22,109.16,33.09,5.03,15.74,67.05,4
2026-01-23 11:29:15,tan_xin,8,4,167.2,265.6,167.2,257.78,2,1,1,113.38,111.31,33.09,4.97,15.53,67.5,4
2026-01-23 11:29:20,tan_xin,8,4,167.2,265.6,167.2,261.11,2,1,1,115.53,112.49,33.09,4.9,15.32,67.94,4
2026-01-23 11:29:25,tan_xin,8,4,167.2,265.6,167.2,263.3,2,1,1,117.68,112.53,33.09,4.83,15.11,68.37,4
2026-01-23 11:29:30,tan_xin,8,4,167.2,265.6,167.2,267.67,2,1,1,119.83,114.75,33.09,4.77,14.91,68.78,4
2026-01-23 11:29:35,tan_xin,8,4,167.2,265.6,167.2,270.15,2,1,1,121.98,115.07,33.09,4.71,15.52,69.18,4
2026-01-23 11:29:40,tan_xin,8,4,167.2,265.6,167.2,272.08,2,1,1,123.92,115.07,33.09,4.65,16.6,69.58,4
2026-01-23 11:29:45,tan_xin,8,5,192.96,296.0,192.96,274.25,2,2,1,126.07,115.08,33.09,4.59,17.65,69.96,3
2026-01-23 11:29:50,tan_xin,8,5,192.96,296.0,192.96,276.4,2,2,1,128.22,115.08,33.09,4.53,18.68,70.34,3
2026-01-23 11:29:55,tan_xin,8,5,192.96,296.0,192.96,277.09,2,2,1,128.92,115.08,33.09,4.48,19.68,70.7,3
2026-01-23 11:30:00,tan_xin,8,5,192.96,296.0,192.96,278.7,2,2,1,130.52,115.08,33.09,4.42,20.66,71.06,3
2026-01-23 11:30:05,tan_xin,8,5,192.96,296.0,192.96,280.85,2,2,1,132.67,115.08,33.09,4.37,21.61,71.4,3
2026-01-23 11:30:10,tan_xin,8,5,192.96,296.0,192.96,283.0,2,2,1,134.82,115.08,33.09,4.32,22.54,71.74,3
2026-01-23 11:30:15,tan_xin,8,5,192.96,296.0,192.96,285.15,2,2,1,136.97,115.08,33.09,4.27,23.45,72.08,3
2026-01-23 11:30:20,tan_xin,8,5,192.96,296.0,192.96,287.3,2,2,1,139.13,115.08,33.09,4.22,24.33,72.4,3
2026-01-23 11:30:25,tan_xin,8,5,192.96,296.0,192.96,289.45,2,2,1,141.28,115.08,33.09,4.17,25.2,72.71,3
2026-01-23 11:30:30,tan_xin,8,5,192.96,296.0,192.96,291.4,2,2,1,143.22,115.08,33.09,4.12,26.05,73.02,3
2026-01-23 11:30:36,tan_xin,8,5,192.96,296.0,192.96,291.6,2,2,1,143.42,115.08,33.09,4.08,26.88,73.33,3
2026-01-23 11:30:41,tan_xin,8,6,209.78,296.0,209.78,293.72,3,2,1,145.54,115.08,33.09,4.03,27.69,73.62,2
2026-01-23 11:30:46,tan_xin,8,6,209.78,296.0,209.78,295.87,3,2,1,147.7,115.08,33.09,3.99,28.48,73.91,2
2026-01-23 11:30:51,tan_xin,8,6,209.78,296.0,209.78,298.02,3,2,1,149.85,115.08,33.09,3.94,29.25,74.19,2
2026-01-23 11:30:56,tan_xin,8,6,209.78,296.0,209.78,299.84,3,2,1,151.66,115.08,33.09,3.9,30.01,74.47,2
2026-01-23 11:31:01,tan_xin,8,6,209.78,296.0,209.78,299.86,3,2,1,151.68,115.08,33.09,3.86,30.75,74.74,2
2026-01-23 11:31:06,tan_xin,8,6,209.78,296.0,209.78,301.46,3,2,1,153.28,115.08,33.09,3.82,31.48,75.01,2
2026-01-23 11:31:11,tan_xin,8,6,209.78,296.0,209.78,303.61,3,2,1,155.43,115.08,33.09,3.78,32.19,75.26,2
2026-01-23 11:31:16,tan_xin,8,6,209.78,296.0,209.78,305.16,3,2,1,156.98,115.08,33.09,3.74,32.89,75.52,2
2026-01-23 11:31:21,tan_xin,8,6,209.78,296.0,209.78,305.16,3,2,1,156.98,115.08,33.09,3.7,33.57,75.77,2
2026-01-23 11:31:26,tan_xin,8,6,209.78,296.0,209.78,306.35,3,2,1,158.17,115.08,33.09,3.67,34.24,76.01,2
2026-01-23 11:31:31,tan_xin,8,6,209.78,296.0,209.78,308.5,3,2,1,160.33,115.08,33.09,3.63,34.9,76.25,2
2026-01-23 11:31:36,tan_xin,8,6,209.78,296.0,209.78,310.34,3,2,1,162.17,115.08,33.09,3.59,35.54,76.49,2
2026-01-23 11:31:41,tan_xin,8,6,209.78,296.0,209.78,311.54,3,2,1,163.36,115.08,33.09,3.56,36.17,76.72,2
2026-01-23 11:31:47,tan_xin,8,6,209.78,296.0,209.78,313.67,3,2,1,165.5,115.08,33.09,3.52,36.79,76.94,2
2026-01-23 11:31:52,tan_xin,8,6,209.78,296.0,209.78,313.99,3,2,1,165.81,115.08,33.09,3.47,37.38,77.16,2
2026-01-23 11:31:57,tan_xin,8,6,209.78,296.0,209.78,314.97,3,2,1,166.8,115.08,33.09,3.46,37.99,77.38,2
2026-01-23 11:32:02,tan_xin,8,6,209.78,296.0,209.78,317.12,3,2,1,168.95,115.08,33.09,3.42,38.57,77.59,2
2026-01-23 11:32:07,tan_xin,8,6,209.78,296.0,209.78,318.52,3,2,1,170.34,115.08,33.09,3.39,39.14,77.8,2
2026-01-23 11:32:12,tan_xin,8,7,246.09,463.9,246.09,320.67,4,2,1,172.5,115.08,33.09,3.36,39.7,78.01,1
2026-01-23 11:32:17,tan_xin,8,7,246.09,463.9,246.09,321.13,4,2,1,172.95,115.08,33.09,3.33,40.26,78.21,1
2026-01-23 11:32:22,tan_xin,8,7,246.09,463.9,246.09,322.08,4,2,1,173.9,115.08,33.09,3.3,40.8,78.4,1
2026-01-23 11:32:27,tan_xin,8,7,246.09,463.9,246.09,324.23,4,2,1,176.06,115.08,33.09,3.27,41.33,78.6,1
2026-01-23 11:32:32,tan_xin,8,7,246.09,463.9,246.09,324.75,4,2,1,176.58,115.08,33.09,3.24,41.85,78.79,1
2026-01-23 11:32:37,tan_xin,8,7,246.09,463.9,246.09,324.75,4,2,1,176.58,115.08,33.09,3.21,42.37,78.98,1
2026-01-23 11:32:42,tan_xin,8,7,246.09,463.9,246.09,326.33,4,2,1,178.15,115.08,33.09,3.18,42.87,79.16,1
2026-01-23 11:32:48,tan_xin,8,7,246.09,463.9,246.09,328.48,4,2,1,180.31,115.08,33.09,3.16,43.37,79.34,1
2026-01-23 11:32:53,tan_xin,8,7,246.09,463.9,246.09,329.94,4,2,1,181.76,115.08,33.09,3.13,43.85,79.52,1
2026-01-23 11:32:58,tan_xin,8,7,246.09,463.9,246.09,331.74,4,2,1,183.57,115.08,33.09,3.1,44.33,79.69,1
2026-01-23 11:33:03,tan_xin,8,7,246.09,463.9,246.09,333.9,4,2,1,185.72,115.08,33.09,3.08,44.8,79.86,1
2026-01-23 11:33:08,tan_xin,8,7,246.09,463.9,246.09,335.24,4,2,1,187.06,115.08,33.09,3.05,45.26,80.03,1
2026-01-23 11:33:13,tan_xin,8,7,246.09,463.9,246.09,335.39,4,2,1,187.21,115.08,33.09,3.03,45.72,80.2,1
2026-01-23 11:33:18,tan_xin,8,7,246.09,463.9,246.09,337.51,4,2,1,189.34,115.08,33.09,3.0,46.17,80.36,1
2026-01-23 11:33:23,tan_xin,8,7,246.09,463.9,246.09,339.67,4,2,1,191.49,115.08,33.09,2.98,46.61,80.52,1
2026-01-23 11:33:28,tan_xin,8,7,246.09,463.9,246.09,341.82,4,2,1,193.64,115.08,33.09,2.95,47.04,80.68,1
2026-01-23 11:33:33,tan_xin,8,7,246.09,463.9,246.09,343.62,4,2,1,195.44,115.08,33.09,2.93,47.47,80.84,1
2026-01-23 11:33:38,tan_xin,8,7,246.09,463.9,246.09,343.93,4,2,1,195.75,115.08,33.09,2.91,47.89,80.99,1
2026-01-23 11:33:43,tan_xin,8,7,246.09,463.9,246.09,346.08,4,2,1,197.9,115.08,33.09,2.88,48.3,81.14,1
2026-01-23 11:33:48,tan_xin,8,7,246.09,463.9,246.09,348.23,4,2,1,200.05,115.08,33.09,2.86,48.7,81.29,1
2026-01-23 11:33:53,tan_xin,8,7,246.09,463.9,246.09,350.17,4,2,1,201.99,115.08,33.09,2.84,49.1,81.43,1
2026-01-23 11:33:58,tan_xin,8,7,246.09,463.9,246.09,352.32,4,2,1,204.14,115.08,33.09,2.82,49.5,81.58,1
2026-01-23 11:34:03,tan_xin,8,7,246.09,463.9,246.09,354.47,4,2,1,206.29,115.08,33.09,2.79,49.88,81.72,1
2026-01-23 11:34:08,tan_xin,8,7,246.09,463.9,246.09,356.62,4,2,1,208.44,115.08,33.09,2.77,50.27,81.86,1
2026-01-23 11:34:13,tan_xin,8,7,246.09,463.9,246.09,358.0,4,2,1,209.82,115.08,33.09,2.75,50.64,82.0,1
2026-01-23 11:34:18,tan_xin,8,7,246.09,463.9,246.09,358.76,4,2,1,210.58,115.08,33.09,2.73,51.01,82.13,1
2026-01-23 11:34:23,tan_xin,8,7,246.09,463.9,246.09,360.91,4,2,1,212.73,115.08,33.09,2.71,51.38,82.26,1
2026-01-23 11:34:28,tan_xin,8,7,246.09,463.9,246.09,363.06,4,2,1,214.88,115.08,33.09,2.69,51.74,82.39,1
2026-01-23 11:34:33,tan_xin,8,7,246.09,463.9,246.09,365.21,4,2,1,217.03,115.08,33.09,2.67,52.09,82.52,1
2026-01-23 11:34:38,tan_xin,8,7,246.09,463.9,246.09,367.36,4,2,1,219.18,115.08,33.09,2.65,52.44,82.65,1
2026-01-23 11:34:43,tan_xin,8,7,246.09,463.9,246.09,369.51,4,2,1,221.34,115.08,33.09,2.63,52.78,82.78,1
2026-01-23 11:34:48,tan_xin,8,7,246.09,463.9,246.09,371.66,4,2,1,223.49,115.08,33.09,2.61,53.12,82.9,1
