image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,64_570,34.849915,-15.651361,5.771075,0.130041,0.017485,0.094502,0.986840,419,93,5.133
1,66_470,33.851764,-8.682209,5.954120,0.115464,0.059574,0.100334,0.986434,542,458,4.746
2,68_770,35.283953,-10.733818,6.127551,-0.058787,0.031310,0.899631,0.431540,609,201,4.689
3,71_870,34.620731,-9.234779,6.177539,0.000516,-0.009496,0.999455,-0.031599,444,162,4.949
4,74_471,33.788270,-9.426086,6.197681,-0.007773,-0.000356,0.903391,-0.428748,443,179,4.992
5,76_870,33.308254,-9.965412,6.196582,-0.002813,-0.010811,0.670142,-0.742149,442,152,4.983
6,79_570,33.399992,-10.718515,6.212421,-0.002304,-0.016618,0.288471,-0.957342,472,147,5.013
7,82_370,34.313847,-11.203104,6.197986,0.006858,-0.009334,-0.204373,-0.978825,476,147,4.957
8,85_70,35.106062,-10.655407,6.179065,0.004654,-0.004238,-0.585087,-0.810946,458,160,4.903
9,87_370,40.548438,-11.643101,6.287402,0.073862,-0.331783,0.585218,-0.736196,405,391,9.504
10,92_770,82.834148,-29.274179,6.180927,0.068096,0.094408,-0.065799,-0.991020,221,44,4.540
11,94_870,81.408882,-27.826834,6.176196,-0.027509,0.004000,-0.914776,-0.403004,360,179,4.985
12,97_471,81.045380,-27.214612,6.195789,0.012084,0.007758,-0.999896,-0.001232,443,118,5.007
13,100_170,80.302975,-27.509843,6.213580,0.004655,0.005873,-0.915982,0.401150,461,137,5.035
14,102_70,79.940945,-28.030777,6.205707,0.006065,0.008050,-0.756958,0.653386,467,149,5.006
15,105_870,80.085632,-29.216362,6.188037,-0.001683,0.006605,-0.287817,0.957661,459,147,4.934
16,108_871,80.960243,-29.472715,6.181049,-0.002041,0.003590,0.176422,0.984306,457,161,4.913
