image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,125_37,28.199538,-10.211103,10.202197,-0.012674,-0.051344,-0.000327,0.998601,631,220,9.587
1,127_138,30.866630,-10.620430,10.228809,0.122933,-0.035958,-0.004512,0.991753,557,321,9.266
2,139_837,30.092656,-45.693677,10.228046,0.063987,-0.002284,0.000023,0.997948,228,449,9.640
3,142_237,30.028264,-53.516438,10.215381,0.052508,-0.001878,-0.001045,0.998618,250,83,10.467
4,159_137,39.961090,-32.739377,10.177325,-0.054657,0.001390,0.000153,0.998504,358,296,9.399
5,165_337,39.981776,-13.156685,10.192737,-0.063209,-0.001065,-0.000473,0.998000,137,36,8.577
6,167_637,40.124253,-9.409529,10.203265,0.048171,0.095025,0.006552,0.994287,253,312,9.854
7,169_537,44.132218,-10.056814,10.212329,-0.014303,0.099309,-0.001419,0.994953,90,227,10.765
8,171_737,50.562715,-10.113525,10.187701,0.001626,-0.086299,0.000511,0.996268,718,128,10.345
9,174_38,50.134770,-13.508705,10.231281,0.100413,0.012313,0.001479,0.994869,826,37,11.183
10,214_337,59.992226,-9.372253,10.169666,0.062297,0.057465,0.003657,0.996395,466,208,8.995
11,216_337,63.619524,-9.905039,10.178577,-0.009786,0.094671,-0.001363,0.995460,324,112,9.629
12,221_38,70.067734,-12.739695,10.197833,0.107008,0.011551,0.000751,0.994191,20,78,10.626
13,246_937,79.862442,-51.467561,10.143146,-0.045318,0.007453,-0.000510,0.998945,166,103,8.934
14,263_438,79.880196,-9.665661,10.213641,0.059025,0.002072,-0.000109,0.998254,641,86,9.513
15,265_938,83.061623,-9.926079,10.226031,-0.007772,0.071563,-0.001145,0.997405,562,9,9.686
16,269_238,90.387581,-9.931080,10.203693,0.006588,-0.060414,-0.000503,0.998152,59,16,8.807
17,285_838,90.040131,-47.811541,10.199146,0.045478,-0.001163,-0.000108,0.998965,749,407,8.782
18,301_637,99.965500,-51.493296,10.204822,-0.036883,0.002566,0.000321,0.999316,269,184,8.999
19,357_337,119.993553,-50.479344,10.188434,-0.036642,0.000089,-0.000188,0.999328,539,43,8.724
20,360_138,120.138863,-43.656013,10.189288,-0.045142,-0.003782,0.000383,0.998973,524,364,9.220
21,396_337,130.118340,-47.139076,10.175677,0.052187,-0.001048,-0.000151,0.998637,46,250,8.954
