image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,29_583,34.529547,-11.067959,5.459888,0.169022,-0.028282,0.094392,0.980674,304,345,2.975
1,31_183,33.803649,-8.328278,5.848895,0.086853,0.043965,0.092245,0.990966,483,433,4.147
2,32_783,33.749646,-10.083273,6.162097,-0.022601,0.024262,0.093655,0.995052,493,197,4.917
3,34_883,33.802657,-10.451221,6.320483,-0.000775,0.028298,0.097844,0.994799,495,217,5.301
4,36_683,34.159029,-10.410555,6.365588,-0.002173,0.008596,0.095629,0.995378,434,206,5.511
5,38_283,34.402740,-10.588942,6.400348,-0.008905,0.005313,0.095554,0.995370,420,184,5.630
6,39_983,34.769491,-10.593651,6.451923,-0.001981,0.031162,0.789303,0.613209,498,227,5.670
7,41_683,35.245587,-9.778828,6.374622,-0.025863,0.004225,0.955087,0.295163,489,165,5.536
8,43_385,34.597007,-8.940226,6.335406,-0.009931,-0.013361,0.999450,-0.028690,450,139,5.521
9,45_83,33.780406,-8.944542,6.338458,-0.007161,-0.011699,0.938766,-0.344281,453,135,5.533
10,46_983,33.256611,-9.561632,6.316302,-0.006217,-0.010181,0.755285,-0.655288,458,143,5.477
11,48_783,33.159606,-10.374535,6.304523,-0.000515,-0.014289,0.494745,-0.868920,460,135,5.447
12,50_783,33.577438,-11.188028,6.288440,0.008407,-0.015979,0.125699,-0.991904,477,120,5.392
13,52_583,34.385063,-11.399826,6.295062,0.009899,-0.011124,-0.216512,-0.976166,478,128,5.385
14,54_383,35.137341,-11.047928,6.282764,0.015028,-0.008909,-0.548686,-0.835846,488,135,5.376
15,55_883,36.891719,-10.739840,6.111133,-0.033025,-0.224441,0.268014,-0.936325,420,286,7.752
16,61_784,82.413612,-29.510534,6.182025,-0.039717,0.172373,0.608627,-0.773488,153,459,4.527
17,63_483,80.666317,-28.702608,6.114856,0.011422,-0.036457,0.602458,-0.797236,463,148,4.791
18,65_183,79.786621,-28.116125,6.114337,0.005992,-0.038283,0.604178,-0.795907,515,121,4.919
19,66_883,80.296211,-28.381182,6.200183,0.002489,-0.001959,0.603682,-0.797219,450,184,5.186
20,68_983,80.455811,-28.561610,6.243823,0.008504,-0.005905,0.604200,-0.796766,433,182,5.215
21,70_483,80.471817,-28.555971,6.243304,0.007575,-0.006979,0.604366,-0.796640,435,185,5.193
22,72_383,81.396763,-28.308672,6.248584,0.019112,0.000408,-0.864621,-0.502060,442,192,5.145
23,73_984,81.546043,-27.792488,6.216754,0.020536,0.004087,-0.981498,-0.190324,456,161,5.097
24,75_783,80.808437,-27.498605,6.219989,0.006175,0.009701,-0.984967,0.172359,436,149,5.137
25,77_583,80.145046,-27.762259,6.239948,0.006696,0.009691,-0.866527,0.498992,446,144,5.183
26,79_484,79.848663,-28.419379,6.247607,0.004372,0.011310,-0.621316,0.783466,457,149,5.219
27,81_183,80.057930,-29.066586,6.258594,-0.000350,0.009374,-0.332051,0.943215,458,153,5.253
28,82_684,80.534992,-29.461715,6.264331,-0.004294,0.009512,-0.036884,0.999265,455,155,5.258
29,84_583,81.371700,-29.486216,6.259540,-0.010401,0.003191,0.338835,0.940783,448,149,5.248
30,86_183,81.878639,-29.082856,6.247821,-0.013579,0.002303,0.612283,0.790519,457,142,5.231
31,87_883,82.333767,-23.977409,6.229449,-0.338895,-0.072545,-0.310484,0.885148,423,329,7.516
32,89_583,84.065983,-8.377834,6.207446,0.165576,0.058606,-0.418041,0.891286,454,270,5.389
33,91_383,84.739456,-3.196430,6.268115,0.096985,0.027609,-0.424473,0.899808,577,416,4.938
34,93_84,84.460117,-5.139843,6.240009,-0.037177,-0.013152,-0.434767,0.899679,366,187,5.143
35,94_884,84.302124,-5.399929,6.229785,-0.009868,-0.001197,-0.435746,0.900015,400,191,5.157
36,96_583,84.302998,-4.926613,6.229297,0.006942,0.007879,-0.435791,0.899987,445,229,5.149
37,98_183,84.355488,-4.860405,6.221271,0.002307,0.001742,-0.435910,0.899985,442,232,5.120
38,99_883,84.392189,-4.851288,6.218616,0.001926,0.001293,-0.436214,0.899840,437,237,5.116
39,101_784,84.471485,-4.843399,6.220172,0.003203,0.007493,-0.433902,0.900923,457,228,5.119
40,103_384,85.224155,-4.693771,6.232562,-0.023790,-0.001883,0.853589,0.520400,463,162,5.102
41,105_83,85.264591,-4.161221,6.217517,-0.019377,-0.004928,0.981520,0.190311,471,154,5.093
42,106_683,84.501671,-3.865261,6.225116,-0.006557,-0.009330,0.991911,-0.126425,444,153,5.160
