image_count,timestamp,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,target_x,target_y,target_depth
0,111_619,19.942184,-49.669861,10.161517,-0.030400,-0.000608,-0.000099,0.999538,703,221,9.892
1,131_118,29.436940,-10.046650,10.196796,-0.001383,-0.053876,-0.000344,0.998547,582,244,9.462
2,133_719,30.226130,-12.418816,10.234790,0.113486,0.004340,-0.000350,0.993530,621,227,9.414
3,147_718,29.993591,-50.728027,10.216296,0.043440,-0.000893,0.000036,0.999056,251,201,10.217
4,176_18,39.993698,-13.353168,10.195636,-0.044472,0.000116,-0.000474,0.999010,136,46,8.693
5,182_118,48.037837,-10.049944,10.192920,-0.004732,-0.010815,-0.000171,0.999930,466,187,10.014
6,185_419,50.110512,-12.047796,10.193958,0.083847,0.009281,0.000388,0.996435,838,97,10.292
7,191_319,50.081298,-28.281303,10.154712,0.048532,-0.001175,-0.000160,0.998821,233,363,8.485
8,231_319,59.944466,-9.554312,10.197559,0.038591,0.068427,0.003011,0.996905,472,178,9.093
9,234_719,66.746319,-10.051584,10.202411,-0.005402,0.030796,-0.000444,0.999511,104,113,9.480
10,253_419,69.959566,-47.695310,10.211108,0.038572,0.001901,-0.000422,0.999254,646,285,10.000
11,274_818,80.098488,-38.397746,10.196063,-0.047418,-0.002333,0.000379,0.998872,640,239,9.024
12,277_119,80.023102,-32.652712,10.182117,-0.061972,-0.000819,-0.000314,0.998077,633,461,10.024
13,279_119,79.990437,-26.140388,10.174854,-0.041840,0.000135,-0.000808,0.999124,471,344,9.122
14,284_518,80.045433,-11.366053,10.186053,0.023381,0.000834,0.000086,0.999726,634,11,9.807
15,286_618,80.701649,-9.418804,10.205188,0.024892,0.122596,0.005794,0.992128,747,35,8.022
16,289_219,87.985977,-10.020899,10.168781,-0.005198,0.005250,0.000198,0.999973,238,13,9.374
17,291_818,90.611614,-10.779221,10.208514,0.106658,-0.016535,-0.001570,0.994157,149,68,9.907
18,299_519,90.103924,-30.776102,10.210468,0.045881,0.000546,-0.000409,0.998947,22,155,9.799
19,302_119,90.006115,-37.470407,10.219623,0.047089,0.000123,0.001376,0.998890,163,332,8.949
20,304_619,89.933285,-44.578778,10.233569,0.044976,0.002444,0.001112,0.998984,193,18,9.907
21,307_119,89.892471,-51.189498,10.230579,0.057966,0.001355,-0.000085,0.998318,750,245,9.210
22,320_318,99.961254,-53.328297,10.214679,-0.054235,0.003822,0.000631,0.998521,267,66,8.816
23,322_718,100.071823,-46.764484,10.222552,-0.043763,-0.001915,0.000095,0.999040,271,400,9.393
24,375_218,119.977058,-47.782759,10.188800,-0.046566,-0.001519,-0.000469,0.998914,538,171,8.886
25,377_819,119.994530,-41.172343,10.186084,-0.051199,-0.000289,-0.000122,0.998688,535,454,9.365
26,410_318,129.913094,-44.213298,10.229083,0.043633,0.002290,0.000377,0.999045,58,400,8.891
27,412_718,129.910774,-50.428518,10.232867,0.041556,0.002056,0.000655,0.999134,81,100,9.503
28,545_618,180.005386,-46.444983,10.160266,-0.039778,-0.000882,0.000036,0.999208,584,29,8.595
29,548_518,180.009247,-39.626817,10.175006,-0.052608,-0.001208,-0.000469,0.998614,572,330,9.146
30,582_619,189.936371,-42.830276,10.162006,0.038976,-0.000317,-0.000559,0.999240,73,234,8.894
